"names"	"lat"	"long"
"1"	"Klagenfurt"	46.6364598	14.3122246
"2"	"Linz"	48.30694	14.28583
"3"	"Salzburg"	47.80949	13.05501
"4"	"Graz"	47.070714	15.439504
"5"	"Innsbruck"	47.2692124	11.4041024
"6"	"Wien"	48.2081743	16.3738189
"7"	"Antwerpen"	51.2194475	4.4024643
"8"	"Bruxelles / Brussel"	50.8503396	4.3517103
"9"	"Liège"	50.6325574	5.5796662
"10"	"Burgas"	42.5047926	27.4626361
"11"	"Ruse"	43.8355713	25.9656554
"12"	"Pernik"	42.6051862	23.0378368
"13"	"Pazardzhik"	42.1927654	24.3335662
"14"	"Winterthur"	47.4988196	8.7236889
"15"	"Basel"	47.5595986	7.5885761
"16"	"Bern"	46.9479739	7.4474468
"17"	"Lausanne"	46.5196535	6.6322734
"18"	"Hradec Králové"	50.2103605	15.825211
"19"	"Jihlava"	49.3983782	15.5870415
"20"	"Karlovy Vary"	50.2318521	12.8719616
"21"	"Liberec"	50.76628	15.0543387
"22"	"Plzen"	49.7384314	13.3736371
"23"	"Potsdam"	52.3905689	13.0644729
"24"	"Frankfurt (Oder)"	52.3472237	14.5505673
"25"	"Cottbus"	51.7563108	14.3328679
"26"	"Brandenburg an der Havel"	52.4125287	12.5316444
"27"	"Villingen-Schwenningen"	48.0594021	8.4640869
"28"	"Konstanz"	47.6779496	9.1732384
"29"	"Karlsruhe"	49.0068901	8.4036527
"30"	"Freiburg im Breisgau"	47.9990077	7.8421043
"31"	"Neu-Ulm"	48.3906042	10.0060398
"32"	"Fürth"	49.4771169	10.988667
"33"	"Regensburg"	49.0134297	12.1016236
"34"	"Schweinfurt"	50.0492047	10.2194228
"35"	"Würzburg"	49.7913044	9.9533548
"36"	"Kassel"	51.3127114	9.4797461
"37"	"Wetzlar"	50.5589802	8.5081646
"38"	"Wiesbaden"	50.0782184	8.2397608
"39"	"Marburg"	50.8021728	8.7667933
"40"	"Fulda"	50.5558095	9.6808449
"41"	"Osnabrück"	52.2799112	8.0471788
"42"	"Göttingen"	51.5412804	9.9158035
"43"	"Hannover"	52.3758916	9.7320104
"44"	"Lüneburg"	53.2464214	10.4115179
"45"	"Oldenburg (Oldenburg)"	54.2957397	10.8919582
"46"	"Düsseldorf"	51.2277411	6.7734556
"47"	"Leverkusen"	51.0459248	7.0192196
"48"	"Solingen"	51.1702072	7.0831408
"49"	"Aachen"	50.7753455	6.0838868
"50"	"Ludwigshafen am Rhein"	49.47741	8.44518
"51"	"Mainz"	49.9928617	8.2472526
"52"	"Kaiserslautern"	49.4400657	7.7491265
"53"	"Trier"	49.749992	6.6371433
"54"	"Koblenz"	50.3569429	7.5889959
"55"	"Zwickau"	50.7102169	12.4733725
"56"	"Halle an der Saale"	51.4969802	11.9688029
"57"	"Magdeburg"	52.1205333	11.6276237
"58"	"Dessau-Roßlau"	51.8428278	12.2303935
"59"	"Gera"	50.8850706	12.0807203
"60"	"Tartu"	58.3776252	26.7290063
"61"	"Narva"	59.3796798	28.1791333
"62"	"Madrid"	40.4167754	-3.7037902
"63"	"Barcelona"	41.3850639	2.1734035
"64"	"Oviedo"	43.3619145	-5.8493887
"65"	"Gijón"	43.5322015	-5.6611195
"66"	"Pontevedra"	42.4298846	-8.6446202
"67"	"Vitoria/Gasteiz"	42.8591656	-2.6817918
"68"	"Palma de Mallorca"	39.5696005	2.6501603
"69"	"Majadahonda"	40.4737586	-3.8683123
"70"	"Cáceres"	39.4752765	-6.3724247
"71"	"Salamanca"	40.9701039	-5.6635397
"72"	"San Sebastián/Donostia"	43.318334	-1.9812313
"73"	"Bilbao"	43.2630126	-2.9349852
"74"	"Torrejón de Ardoz"	40.4567552	-3.4754967
"75"	"Jerez de la Frontera"	36.6850064	-6.1260744
"76"	"Castellón de la Plana/Castelló de la Plana"	39.9863563	-0.0513246
"77"	"Cartagena"	10.3910485	-75.4794257
"78"	"Palencia"	42.0096857	-4.5288016
"79"	"Zamora"	41.5034712	-5.7467879
"80"	"Las Palmas"	28.1235459	-15.4362574
"81"	"Arrecife"	28.9651694	-13.5550363
"82"	"Martigues"	43.404811	5.053728
"83"	"Marseille"	43.296482	5.36978
"84"	"Aix-en-Provence"	43.529742	5.447427
"85"	"Toulon"	43.124228	5.928
"86"	"Clermont-Ferrand"	45.777222	3.087025
"87"	"Montpellier"	43.610769	3.876716
"88"	"La Rochelle"	46.160329	-1.151139
"89"	"Poitiers"	46.580224	0.340375
"90"	"Angoulème"	45.648377	0.1562369
"91"	"Montbelliard"	47.510356	6.798466
"92"	"Belfort"	47.639674	6.863849
"93"	"Reims"	49.258329	4.031696
"94"	"Châlons-en-Champagne"	48.956682	4.363073
"95"	"Troyes"	48.2973451	4.0744009
"96"	"Saint-Quentin"	49.847066	3.2874
"97"	"Beauvais"	49.4295387	2.0807123
"98"	"Rennes"	48.117266	-1.6777926
"99"	"Brest"	48.390394	-4.486076
"100"	"Lorient"	47.7482524	-3.3702449
"101"	"CA de Sophia-Antipolis"	36.778261	-119.4179324
"102"	"Nice"	43.7101728	7.2619532
"103"	"Rouen"	49.443232	1.099971
"104"	"Dijon"	47.322047	5.04148
"105"	"Arras"	50.291002	2.777535
"106"	"Chalon-sur-Saône"	46.780764	4.853947
"107"	"Chambery"	45.564601	5.917781
"108"	"Annecy"	45.899247	6.129384
"109"	"Annemasse"	46.193253	6.234158
"110"	"Orléans"	47.902964	1.909251
"111"	"Fort-de-France"	14.6160647	-61.0587804
"112"	"Ajaccio"	41.919229	8.738635
"113"	"London"	51.5073509	-0.1277583
"114"	"Newcastle upon Tyne"	54.978252	-1.61778
"115"	"Cardiff"	51.481581	-3.17909
"116"	"Aberdeen"	57.149717	-2.094278
"117"	"Wrexham"	53.04304	-2.992494
"118"	"Kingston-upon-Hull"	53.7456709	-0.3367413
"119"	"Edinburgh"	55.953252	-3.188267
"120"	"Norwich"	52.6308859	1.297355
"121"	"Medway"	51.4047432	0.5417861
"122"	"Volos"	39.3621896	22.942159
"123"	"Larisa"	39.6390224	22.4191254
"124"	"Nyíregyháza"	47.9495324	21.7244053
"125"	"Pécs"	46.0727345	18.232266
"126"	"Szeged"	46.2530102	20.1414253
"127"	"Cork"	51.8968917	-8.4863157
"128"	"Dublin"	53.3498053	-6.2603097
"129"	"Modena"	44.647128	10.9252269
"130"	"Forlì"	44.2227398	12.0407312
"131"	"Como"	45.8080597	9.0851765
"132"	"Lecco"	45.8565698	9.3976704
"133"	"Parma"	44.801485	10.3279036
"134"	"Benevento"	41.1297613	14.7826208
"135"	"Avellino"	40.914388	14.7906121
"136"	"Salerno"	40.6824408	14.7680961
"137"	"Prato"	43.8777049	11.102228
"138"	"Viareggio"	43.8657267	10.2513103
"139"	"Sassari"	40.7259269	8.5556826
"140"	"Biella"	45.5628842	8.0583397
"141"	"Bolzano"	46.4982953	11.3547582
"142"	"Varese"	45.8205989	8.8250576
"143"	"Treviso"	45.6668893	12.2430437
"144"	"Bari"	41.1171432	16.8718715
"145"	"Taranto"	40.4643606	17.2470303
"146"	"Lecce"	40.3515155	18.1750161
"147"	"Panevežys"	55.7347915	24.3574773
"148"	"Šiauliai"	55.9349085	23.3136823
"149"	"Klaipeda"	55.7032948	21.1442794
"150"	"Kaunas"	54.8985207	23.9035965
"151"	"'s-Gravenhage"	52.0704978	4.3006999
"152"	"Rotterdam"	51.9244201	4.4777325
"153"	"Vlaardingen"	51.9120668	4.3494366
"154"	"Dordrecht"	51.8132979	4.6900929
"155"	"Leiden"	52.1601144	4.4970097
"156"	"Oslo"	59.9138688	10.7522454
"157"	"Bergen"	60.3912628	5.3220544
"158"	"Trondheim"	63.4305149	10.3950528
"159"	"Stavanger"	58.9699756	5.7331073
"160"	"Bydgoszcz"	53.1234804	18.0084378
"161"	"Torun"	53.0137902	18.5984437
"162"	"Wloclawek"	52.6483303	19.0677357
"163"	"Chelm"	51.1431232	23.4711986
"164"	"Lublin"	51.2464536	22.5684463
"165"	"Suwalki"	54.1115218	22.9307881
"166"	"Slupsk"	54.464148	17.0284824
"167"	"Olsztyn"	53.778422	20.4801193
"168"	"Ostrów Wielkopolski"	51.6549856	17.8068258
"169"	"Opole"	50.6751067	17.9212976
"170"	"Bielsko-Biala"	49.8223768	19.0583845
"171"	"Gliwice"	50.2944923	18.6713802
"172"	"Rybnik"	50.1021742	18.5462847
"173"	"Koszalin"	54.1943219	16.1714908
"174"	"Tarnów"	50.0121011	20.9858407
"175"	"Kalisz"	51.7672799	18.0853462
"176"	"Piotrków Trybunalski"	51.4051721	19.7030244
"177"	"Sosnowiec"	50.2862638	19.1040791
"178"	"Przemysl"	49.7838623	22.7677908
"179"	"Matosinhos"	41.1844362	-8.6962775
"180"	"Valongo"	41.1887594	-8.498352
"181"	"Paredes"	41.2051674	-8.3303867
"182"	"Lisboa"	38.7222524	-9.1393366
"183"	"Almada"	38.6765238	-9.1651047
"184"	"Setúbal"	38.5260437	-8.8909328
"185"	"Vila Franca de Xira"	38.9551563	-8.9889932
"186"	"Buzau"	45.1371109	26.8171122
"187"	"Constanta"	44.1598013	28.6348138
"188"	"Baia Mare"	47.6567387	23.5849881
"189"	"Piatra Neamt"	46.9299616	26.3779793
"190"	"Norrköping"	58.587745	16.192421
"191"	"Linköping"	58.410807	15.6213727
"192"	"Maribor"	46.5546503	15.6458812
"193"	"Ljubljana"	46.0569465	14.5057515
